id,period,lfp,black,educ,age,agesq,kids,hinc,per1,per2,per3,per4,per5,lhinc
6,5,1,0,10,51,2601,1,1300.3022,0,0,0,0,1,7.170352
7,1,1,1,12,37,1369,2,2308.281,1,0,0,0,0,7.7442584
7,2,1,1,12,37,1369,2,2529.0244,0,1,0,0,0,7.8355889
7,3,1,1,12,37,1369,2,2462.3213,0,0,1,0,0,7.8088598
7,4,1,1,12,37,1369,2,2427.5625,0,0,0,1,0,7.7946429
7,5,1,1,12,37,1369,2,2409.6602,0,0,0,0,1,7.787241
8,1,1,0,18,29,841,1,3603.6277,1,0,0,0,0,8.1896963
8,2,1,0,18,29,841,1,1509.6045,0,1,0,0,0,7.319603
8,3,1,0,18,29,841,1,1489.6676,0,0,1,0,0,7.3063083
8,4,1,0,18,29,841,1,1413.339,0,0,0,1,0,7.2537103
8,5,1,0,18,29,841,1,1215.1467,0,0,0,0,1,7.1026201
9,1,1,0,12,39,1521,2,1122.1724,1,0,0,0,0,7.0230217
9,2,1,0,12,39,1521,2,1448.325,0,1,0,0,0,7.278163
9,3,1,0,12,39,1521,2,1318.7224,0,0,1,0,0,7.1844187
9,4,1,0,12,39,1521,2,1069.8044,0,0,0,1,0,6.9752312
9,5,1,0,12,39,1521,2,1157.0599,0,0,0,0,1,7.0536375
10,1,1,0,14,34,1156,2,2240.5713,1,0,0,0,0,7.7144861
10,2,1,0,14,34,1156,2,2039.4058,0,1,0,0,0,7.6204138
10,3,1,0,14,34,1156,2,2068.3496,0,0,1,0,0,7.6345062
10,4,1,0,14,34,1156,2,2294.0471,0,0,0,1,0,7.7380729
10,5,1,0,14,34,1156,2,2324.1177,0,0,0,0,1,7.7510958
11,1,0,0,16,26,676,1,2555.2876,1,0,0,0,0,7.8459201
11,2,0,0,16,26,676,1,2620.0366,0,1,0,0,0,7.8709435
11,3,0,0,16,26,676,1,2607.1465,0,0,1,0,0,7.8660116
11,4,0,0,16,26,676,2,2634.8452,0,0,0,1,0,7.8765798
11,5,0,0,16,26,676,2,3159.8655,0,0,0,0,1,8.0582848
12,1,1,0,16,31,961,2,2335.7419,1,0,0,0,0,7.7560849
12,2,1,0,16,31,961,2,2505.7517,0,1,0,0,0,7.826344
12,3,0,0,16,31,961,2,2686.2852,0,0,1,0,0,7.8959146
12,4,0,0,16,31,961,2,3099.0408,0,0,0,1,0,8.0388479
12,5,0,0,16,31,961,2,3358.6653,0,0,0,0,1,8.1192989
13,1,0,0,16,41,1681,3,3778.032,1,0,0,0,0,8.2369585
13,2,0,0,16,41,1681,3,3975.6248,0,1,0,0,0,8.2879372
13,3,0,0,16,41,1681,3,4096.8281,0,0,1,0,0,8.3179684
13,4,0,0,16,41,1681,3,4188.7813,0,0,0,1,0,8.3401651
13,5,0,0,16,41,1681,3,4157.0918,0,0,0,0,1,8.332571
14,1,1,0,11,37,1369,2,1751.4717,1,0,0,0,0,7.4682117
14,2,1,0,11,37,1369,2,1846.9463,0,1,0,0,0,7.5212889
14,3,1,0,11,37,1369,2,4373.0786,0,0,1,0,0,8.3832226
14,4,1,0,11,37,1369,2,2544.0854,0,0,0,1,0,7.8415265
14,5,1,0,11,37,1369,2,2775.927,0,0,0,0,1,7.92874
15,1,0,0,7,53,2809,0,1896.4257,1,0,0,0,0,7.5477262
15,2,0,0,7,53,2809,0,2478.1677,0,1,0,0,0,7.8152747
15,3,0,0,7,53,2809,0,2773.0906,0,0,1,0,0,7.9277177
15,4,0,0,7,53,2809,0,1800.76,0,0,0,1,0,7.4959641
15,5,0,0,7,53,2809,0,1378.356,0,0,0,0,1,7.2286468
16,1,1,0,16,23,529,0,1492.8397,1,0,0,0,0,7.3084354
16,2,1,0,16,23,529,0,2287.7539,0,1,0,0,0,7.7353258
16,3,1,0,16,23,529,0,1541.4773,0,0,1,0,0,7.3404965
16,4,1,0,16,23,529,0,1526.6113,0,0,0,1,0,7.3308058
16,5,0,0,16,23,529,1,1602.037,0,0,0,0,1,7.3790312
17,1,1,0,12,62,3844,0,3566.4265,1,0,0,0,0,8.1793194
17,2,1,0,12,62,3844,0,3758.002,0,1,0,0,0,8.2316427
17,3,1,0,12,62,3844,0,3458.4104,0,0,1,0,0,8.1485643
17,4,1,0,12,62,3844,0,3625.7625,0,0,0,1,0,8.1958199
17,5,1,0,12,62,3844,0,3390.9915,0,0,0,0,1,8.1288776
18,1,1,0,15,50,2500,0,1586.854,1,0,0,0,0,7.3695087
18,2,1,0,15,50,2500,0,1984.3358,0,1,0,0,0,7.5930395
18,3,1,0,15,50,2500,0,1841.8154,0,0,1,0,0,7.518507
18,4,1,0,15,50,2500,0,2070.7061,0,0,0,1,0,7.6356449
18,5,1,0,15,50,2500,0,1975.809,0,0,0,0,1,7.5887332
19,1,1,0,16,34,1156,2,4605.4282,1,0,0,0,0,8.4349909
19,2,1,0,16,34,1156,2,4551.6558,0,1,0,0,0,8.4232464
19,3,1,0,16,34,1156,2,4688.7886,0,0,1,0,0,8.4529295
19,4,1,0,16,34,1156,2,4640.2388,0,0,0,1,0,8.4425211
19,5,1,0,16,34,1156,2,4592.6777,0,0,0,0,1,8.4322186
20,1,1,0,10,56,3136,0,1620.3154,1,0,0,0,0,7.3903761
20,2,1,0,10,56,3136,0,1832.3827,0,1,0,0,0,7.5133724
20,3,1,0,10,56,3136,0,2879.9438,0,0,1,0,0,7.9655261
20,4,1,0,10,56,3136,0,5241.5327,0,0,0,1,0,8.5643692
20,5,1,0,10,56,3136,0,3810.4895,0,0,0,0,1,8.245513
21,1,0,0,12,46,2116,0,1873.6713,1,0,0,0,0,7.535655
21,2,1,0,12,46,2116,0,2886.6257,0,1,0,0,0,7.9678435
21,3,1,0,12,46,2116,0,4620.9009,0,0,1,0,0,8.438345
21,4,1,0,12,46,2116,0,2646.9167,0,0,0,1,0,7.8811507
21,5,1,0,12,46,2116,0,3922.4407,0,0,0,0,1,8.2744694
22,1,1,0,18,43,1849,2,3089.0437,1,0,0,0,0,8.0356169
22,2,1,0,18,43,1849,2,2954.6545,0,1,0,0,0,7.991137
22,3,1,0,18,43,1849,2,2875.79,0,0,1,0,0,7.9640827
22,4,1,0,18,43,1849,2,2846.0115,0,0,0,1,0,7.9536738
22,5,1,0,18,43,1849,2,2816.8435,0,0,0,0,1,7.9433722
23,1,0,0,10,51,2601,0,4036.0103,1,0,0,0,0,8.3030119
23,2,0,0,10,51,2601,0,5083.917,0,1,0,0,0,8.5338373
23,3,0,0,10,51,2601,0,5968.4385,0,0,1,0,0,8.6942406
23,4,0,0,10,51,2601,0,4521.251,0,0,0,1,0,8.416544
23,5,0,0,10,51,2601,0,3109.1621,0,0,0,0,1,8.0421085
24,1,1,1,14,25,625,2,1096.6545,1,0,0,0,0,7.0000196
24,2,1,1,14,25,625,2,1207.3905,0,1,0,0,0,7.0962167
24,3,1,1,14,25,625,2,1076.929,0,0,1,0,0,6.9818687
24,4,1,1,14,25,625,2,969.58466,0,0,0,1,0,6.8768678
24,5,1,1,14,25,625,2,864.92627,0,0,0,0,1,6.7626443
25,1,1,0,12,29,841,1,3924.0796,1,0,0,0,0,8.2748871
25,2,1,0,12,29,841,1,4299.3433,0,1,0,0,0,8.3662176
25,3,1,0,12,29,841,1,4185.9463,0,0,1,0,0,8.339488
25,4,1,0,12,29,841,1,4369.6147,0,0,0,1,0,8.3824301
25,5,1,0,12,29,841,1,4096.4219,0,0,0,0,1,8.3178692
26,1,1,0,12,39,1521,1,1726.418,1,0,0,0,0,7.453804
26,2,1,0,12,39,1521,1,1809.4034,0,1,0,0,0,7.5007524
26,3,1,0,12,39,1521,1,998.32111,0,0,1,0,0,6.906075
26,4,0,0,12,39,1521,1,1152.0962,0,0,0,1,0,7.0493383
26,5,0,0,12,39,1521,1,863.65656,0,0,0,0,1,6.7611752
27,1,1,0,14,36,1296,1,927.27051,1,0,0,0,0,6.8322453
27,2,1,0,14,36,1296,1,1879.061,0,1,0,0,0,7.5385275
27,3,1,0,14,36,1296,1,1934.1254,0,0,1,0,0,7.5674105
27,4,1,0,14,36,1296,1,2126.7751,0,0,0,1,0,7.6623621
27,5,1,0,14,36,1296,1,1683.9819,0,0,0,0,1,7.4289165
28,1,1,0,12,45,2025,3,3244.5256,1,0,0,0,0,8.0847244
28,2,1,0,12,45,2025,3,5153.2915,0,1,0,0,0,8.5473909
28,3,1,0,12,45,2025,3,4195.126,0,0,1,0,0,8.3416786
28,4,1,0,12,45,2025,3,4371.6152,0,0,0,1,0,8.3828878
28,5,1,0,12,45,2025,3,4096.8672,0,0,0,0,1,8.3179779
29,1,1,0,13,52,2704,0,1381.135,1,0,0,0,0,7.2306609
29,2,1,0,13,52,2704,0,739.19708,0,1,0,0,0,6.6055646
29,3,1,0,13,52,2704,0,1517.0197,0,0,1,0,0,7.3245029
29,4,1,0,13,52,2704,0,1946.4629,0,0,0,1,0,7.5737691
29,5,1,0,13,52,2704,0,2664.8606,0,0,0,0,1,7.887907
30,1,0,0,12,40,1600,4,5339.2827,1,0,0,0,0,8.5828466
30,2,0,0,12,40,1600,4,8276.0098,0,1,0,0,0,9.0211163
30,3,0,0,12,40,1600,4,8139.936,0,0,1,0,0,9.0045376
30,4,0,0,12,40,1600,4,8055.644,0,0,0,1,0,8.9941282
30,5,0,0,12,40,1600,4,7973.084,0,0,0,0,1,8.9838266
31,1,0,0,12,55,3025,0,3447.4744,1,0,0,0,0,8.1453972
31,2,0,0,12,55,3025,0,4137.5059,0,1,0,0,0,8.3278484
31,3,0,0,12,55,3025,0,4066.5439,0,0,1,0,0,8.3105488
31,4,0,0,12,55,3025,0,4220.6763,0,0,0,1,0,8.3477507
31,5,0,0,12,55,3025,0,4209.9507,0,0,0,0,1,8.3452063
32,1,1,0,12,20,400,0,2027.9291,1,0,0,0,0,7.6147704
32,2,1,0,12,20,400,0,1986.3219,0,1,0,0,0,7.5940399
32,3,0,0,12,20,400,0,1953.6619,0,0,1,0,0,7.5774608
32,4,0,0,12,20,400,0,1691.7534,0,0,0,1,0,7.4335208
32,5,0,0,12,20,400,0,1435.2125,0,0,0,0,1,7.2690682
33,1,0,0,12,41,1681,3,1579.4191,1,0,0,0,0,7.3648124
33,2,0,0,12,41,1681,3,2201.0527,0,1,0,0,0,7.696691
33,3,0,0,12,41,1681,3,1325.3157,0,0,1,0,0,7.1894059
33,4,0,0,12,41,1681,2,1801.9659,0,0,0,1,0,7.4966335
33,5,0,0,12,41,1681,2,2988.2502,0,0,0,0,1,8.0024433
34,1,0,0,15,31,961,1,3148.1738,1,0,0,0,0,8.0545778
34,2,1,0,15,31,961,1,2906.6714,0,1,0,0,0,7.9747639
34,3,1,0,15,31,961,1,3125.8589,0,0,1,0,0,8.0474644
34,4,1,0,15,31,961,1,3194.8879,0,0,0,1,0,8.0693073
34,5,1,0,15,31,961,1,3202.2456,0,0,0,0,1,8.0716076
35,1,0,0,12,30,900,3,3310.6643,1,0,0,0,0,8.1049042
35,2,0,0,12,30,900,3,4030.5059,0,1,0,0,0,8.3016472
35,3,0,0,12,30,900,3,4152.2656,0,0,1,0,0,8.3314095
35,4,0,0,12,30,900,3,1273.5995,0,0,0,1,0,7.1496024
35,5,0,0,12,30,900,4,2801.8469,0,0,0,0,1,7.9380341
36,1,1,0,12,27,729,0,2083.0308,1,0,0,0,0,7.6415792
36,2,1,0,12,27,729,0,2143.1165,0,1,0,0,0,7.6700163
36,3,1,0,12,27,729,0,2153.8569,0,0,1,0,0,7.6750154
36,4,1,0,12,27,729,1,2743.9226,0,0,0,1,0,7.9171438
36,5,1,0,12,27,729,1,2717.7896,0,0,0,0,1,7.9075742
37,1,1,0,14,53,2809,0,1320.2023,1,0,0,0,0,7.1855402
37,2,1,0,14,53,2809,0,1523.4968,0,1,0,0,0,7.3287635
37,3,1,0,14,53,2809,0,1953.6619,0,0,1,0,0,7.5774608
37,4,1,0,14,53,2809,0,1249.8792,0,0,0,1,0,7.1308022
37,5,1,0,14,53,2809,0,1599.6835,0,0,0,0,1,7.3775611
38,1,0,0,6,36,1296,3,1786.9142,1,0,0,0,0,7.4882455
38,2,0,0,6,36,1296,3,1881.5168,0,1,0,0,0,7.5398335
38,3,0,0,6,36,1296,3,1192.4542,0,0,1,0,0,7.0837688
38,4,0,0,6,36,1296,2,2882.8169,0,0,0,1,0,7.9665232
38,5,1,0,6,36,1296,2,2958.5288,0,0,0,0,1,7.9924474
39,1,1,0,16,26,676,0,1994.467,1,0,0,0,0,7.5981321
39,2,1,0,16,26,676,0,2085.6377,0,1,0,0,0,7.6428299
39,3,1,0,16,26,676,0,2031.8076,0,0,1,0,0,7.6166811
39,4,1,0,16,26,676,0,2287.7322,0,0,0,1,0,7.7353163
39,5,1,0,16,26,676,1,2383.4077,0,0,0,0,1,7.7762866
40,1,1,1,16,31,961,2,2158.2427,1,0,0,0,0,7.6770496
40,2,1,1,16,31,961,2,2683.8013,0,1,0,0,0,7.8949895
40,3,1,1,16,31,961,2,2003.3446,0,0,1,0,0,7.6025734
40,4,1,1,16,31,961,2,1990.6019,0,0,0,1,0,7.5961924
40,5,0,1,16,31,961,2,2790.8689,0,0,0,0,1,7.9341083
41,1,1,0,15,57,3249,0,6592.1787,1,0,0,0,0,8.7936392
41,2,1,0,15,57,3249,0,7134.6729,0,1,0,0,0,8.8727217
41,3,1,0,15,57,3249,0,7448.4341,0,0,1,0,0,8.9157591
41,4,1,0,15,57,3249,0,5582.8662,0,0,0,1,0,8.6274576
41,5,1,0,15,57,3249,0,6516.7383,0,0,0,0,1,8.7821293
42,1,0,0,8,32,1024,3,2928.3096,1,0,0,0,0,7.9821806
42,2,0,0,8,32,1024,3,2129.8887,0,1,0,0,0,7.663825
42,3,0,0,8,32,1024,3,2417.6567,0,0,1,0,0,7.790554
42,4,0,0,8,32,1024,3,2386.4851,0,0,0,1,0,7.7775769
42,5,0,0,8,32,1024,3,2089.8088,0,0,0,0,1,7.6448278
43,1,1,0,12,36,1296,4,3561.8037,1,0,0,0,0,8.1780224
43,2,1,0,12,36,1296,3,4607.7695,0,1,0,0,0,8.4354992
43,3,1,0,12,36,1296,3,4380.8428,0,0,1,0,0,8.3849964
43,4,1,0,12,36,1296,3,3868.3152,0,0,0,1,0,8.2605743
43,5,1,0,12,36,1296,2,2433.4023,0,0,0,0,1,7.7970457
44,1,0,0,18,43,1849,1,6586.0518,1,0,0,0,0,8.7927094
44,2,0,0,18,43,1849,1,7420.4214,0,1,0,0,0,8.9119911
44,3,0,0,18,43,1849,1,9790.2588,0,0,1,0,0,9.1891432
44,4,0,0,18,43,1849,1,8726.2578,0,0,0,1,0,9.0740919
44,5,0,0,18,43,1849,1,5525.918,0,0,0,0,1,8.6172047
45,1,1,0,16,40,1600,2,5629.2886,1,0,0,0,0,8.6357384
45,2,1,0,16,40,1600,2,6263.334,0,1,0,0,0,8.7424679
45,3,1,0,16,40,1600,2,6412.6167,0,0,1,0,0,8.7660227
45,4,1,0,16,40,1600,1,287.96637,0,0,0,1,0,5.6628437
45,5,1,0,16,40,1600,1,457.93011,0,0,0,0,1,6.1267166
46,1,0,0,12,46,2116,3,2348.4365,1,0,0,0,0,7.7615051
46,2,0,0,12,46,2116,2,4527.1401,0,1,0,0,0,8.4178457
46,3,0,0,12,46,2116,2,4070.4551,0,0,1,0,0,8.3115101
46,4,0,0,12,46,2116,2,3154.7107,0,0,0,1,0,8.0566521
46,5,0,0,12,46,2116,2,3885.0149,0,0,0,0,1,8.2648821
47,1,0,0,10,26,676,2,2787.5876,1,0,0,0,0,7.9329319
47,2,0,0,10,26,676,2,2980.2432,0,1,0,0,0,7.9997602
47,3,0,0,10,26,676,2,2474.9792,0,0,1,0,0,7.8139873
47,4,0,0,10,26,676,2,2425.6589,0,0,0,1,0,7.7938585
47,5,0,0,10,26,676,2,2421.7954,0,0,0,0,1,7.7922645
48,1,1,0,12,31,961,1,2534.9089,1,0,0,0,0,7.837913
48,2,1,0,12,31,961,1,2731.1902,0,1,0,0,0,7.9124928
48,3,1,0,12,31,961,1,2361.2429,0,0,1,0,0,7.7669435
48,4,1,0,12,31,961,2,6017.0737,0,0,0,1,0,8.7023563
48,5,1,0,12,31,961,2,3528.2261,0,0,0,0,1,8.1685505
49,1,0,0,12,42,1764,2,7147.6533,1,0,0,0,0,8.8745394
49,2,0,0,12,42,1764,2,6036.9497,0,1,0,0,0,8.7056541
49,3,1,0,12,42,1764,2,6363.6719,0,0,1,0,0,8.7583609
49,4,1,0,12,42,1764,2,5938.7036,0,0,0,1,0,8.6892462
49,5,0,0,12,42,1764,2,8008.2603,0,0,0,0,1,8.9882288
50,1,0,0,14,31,961,3,4944.9194,1,0,0,0,0,8.5061159
50,2,0,0,14,31,961,3,2728.7649,0,1,0,0,0,7.9116044
50,3,0,0,14,31,961,3,451.78433,0,0,1,0,0,6.113205
50,4,0,0,14,31,961,3,994.77289,0,0,0,1,0,6.9025145
50,5,0,0,14,31,961,3,4138.3584,0,0,0,0,1,8.3280544
51,1,1,0,12,30,900,1,1213.1296,1,0,0,0,0,7.1009588
51,2,1,0,12,30,900,1,1354.2922,0,1,0,0,0,7.2110343
51,3,0,0,12,30,900,1,984.92804,0,0,1,0,0,6.8925686
51,4,1,0,12,30,900,1,1359.4347,0,0,0,1,0,7.2148242
51,5,0,0,12,30,900,1,1327.2407,0,0,0,0,1,7.1908574
52,1,0,0,12,47,2209,1,4962.1812,1,0,0,0,0,8.5096006
52,2,0,0,12,47,2209,1,4474.521,0,1,0,0,0,8.4061546
52,3,0,0,12,47,2209,0,6479.8091,0,0,1,0,0,8.7764463
52,4,0,0,12,47,2209,0,5298.6772,0,0,0,1,0,8.5752125
52,5,0,0,12,47,2209,1,6874.4668,0,0,0,0,1,8.8355694
53,1,1,1,16,45,2025,1,3612.2468,1,0,0,0,0,8.1920853
53,2,1,1,16,45,2025,1,3673.7043,0,1,0,0,0,8.2089558
53,3,1,1,16,45,2025,1,3174.7024,0,0,1,0,0,8.0629692
53,4,1,1,16,45,2025,1,3301.3352,0,0,0,1,0,8.1020823
53,5,1,1,16,45,2025,1,3651.1794,0,0,0,0,1,8.2028055
54,1,1,1,16,36,1296,1,2031.0801,1,0,0,0,0,7.616323
54,2,1,1,16,36,1296,1,1022.3466,0,1,0,0,0,6.9298558
54,3,1,1,16,36,1296,1,2268.2021,0,0,1,0,0,7.7267427
54,4,1,1,16,36,1296,1,1936.2966,0,0,0,1,0,7.5685325
54,5,1,1,16,36,1296,1,1919.2367,0,0,0,0,1,7.5596828
55,1,1,0,12,52,2704,0,2304.177,1,0,0,0,0,7.7424788
55,2,1,0,12,52,2704,0,1800.4131,0,1,0,0,0,7.4957714
55,3,1,0,12,52,2704,0,3057.219,0,0,1,0,0,8.0252609
55,4,0,0,12,52,2704,0,2994.1553,0,0,0,1,0,8.0044174
55,5,0,0,12,52,2704,0,3063.1609,0,0,0,0,1,8.0272026
56,1,1,0,12,37,1369,5,3186.8909,1,0,0,0,0,8.0668011
56,2,1,0,12,37,1369,5,4831.7295,0,1,0,0,0,8.4829597
56,3,1,0,12,37,1369,5,3247.9619,0,0,1,0,0,8.085783
56,4,1,0,12,37,1369,5,2480.5938,0,0,0,1,0,7.8162532
56,5,1,0,12,37,1369,5,4257.7974,0,0,0,0,1,8.3565073
57,1,1,0,17,49,2401,0,2851.7742,1,0,0,0,0,7.9556966
57,2,1,0,17,49,2401,0,2578.7427,0,1,0,0,0,7.8550572
57,3,1,0,17,49,2401,0,2832.8108,0,0,1,0,0,7.9490247
57,4,1,0,17,49,2401,0,2610.1331,0,0,0,1,0,7.8671565
57,5,1,0,17,49,2401,0,2583.3813,0,0,0,0,1,7.8568544
58,1,1,0,12,38,1444,5,3456.897,1,0,0,0,0,8.1481266
58,2,1,0,12,38,1444,5,3531.6025,0,1,0,0,0,8.169507
58,3,1,0,12,38,1444,5,2918.2815,0,0,1,0,0,7.9787502
58,4,1,0,12,38,1444,5,3127.1172,0,0,0,1,0,8.0478668
58,5,1,0,12,38,1444,5,1727.3123,0,0,0,0,1,7.4543219
59,1,1,0,12,31,961,3,1713.3954,1,0,0,0,0,7.4462323
59,2,1,0,12,31,961,3,1775.3669,0,1,0,0,0,7.4817624
59,3,1,0,12,31,961,3,1355.2174,0,0,1,0,0,7.2117171
59,4,1,0,12,31,961,3,878.92865,0,0,0,1,0,6.7787037
59,5,1,0,12,31,961,3,400.98944,0,0,0,0,1,5.9939351
60,1,1,0,14,29,841,3,3446.1924,1,0,0,0,0,8.1450253
60,2,1,0,14,29,841,3,2263.8572,0,1,0,0,0,7.7248254
60,3,0,0,14,29,841,3,2349.6631,0,0,1,0,0,7.7620273
60,4,0,0,14,29,841,3,2908.7539,0,0,0,1,0,7.9754801
60,5,0,0,14,29,841,3,3363.6016,0,0,0,0,1,8.1207676
61,1,1,0,10,41,1681,2,4595.3198,1,0,0,0,0,8.4327936
61,2,1,0,10,41,1681,2,4936.3296,0,1,0,0,0,8.5043774
61,3,0,0,10,41,1681,2,4053.8474,0,0,1,0,0,8.3074217
61,4,1,0,10,41,1681,1,4605.9639,0,0,0,1,0,8.4351072
61,5,1,0,10,41,1681,1,4894.0537,0,0,0,0,1,8.4957762
62,1,0,0,16,35,1225,2,2907.5642,1,0,0,0,0,7.975071
62,2,0,0,16,35,1225,2,3086.3906,0,1,0,0,0,8.0347576
62,3,0,0,16,35,1225,2,2897.9182,0,0,1,0,0,7.9717479
62,4,0,0,16,35,1225,2,2836.0354,0,0,0,1,0,7.9501624
62,5,1,0,16,35,1225,2,4259.2842,0,0,0,0,1,8.3568563
63,1,1,0,13,40,1600,1,4492.814,1,0,0,0,0,8.4102345
63,2,1,0,13,40,1600,1,4427.0967,0,1,0,0,0,8.3954992
63,3,1,0,13,40,1600,1,4307.7158,0,0,1,0,0,8.3681631
63,4,1,0,13,40,1600,1,4266.1704,0,0,0,1,0,8.3584719
63,5,1,0,13,40,1600,1,4228.5288,0,0,0,0,1,8.3496094
64,1,0,0,16,29,841,1,3452.8376,1,0,0,0,0,8.1469517
64,2,0,0,16,29,841,1,3407.8235,0,1,0,0,0,8.1338291
64,3,0,0,16,29,841,1,3692.4221,0,0,1,0,0,8.2140379
64,4,0,0,16,29,841,2,3456.2903,0,0,0,1,0,8.1479511
64,5,0,0,16,29,841,2,3627.3567,0,0,0,0,1,8.1962595
65,1,1,0,12,37,1369,3,5901.2725,1,0,0,0,0,8.6829233
65,2,1,0,12,37,1369,3,993.16095,0,1,0,0,0,6.9008927
65,3,1,0,12,37,1369,3,5120.0591,0,0,1,0,0,8.5409212
65,4,1,0,12,37,1369,3,1546.7455,0,0,0,1,0,7.3439083
65,5,1,0,12,37,1369,3,2631.2231,0,0,0,0,1,7.8752041
66,1,1,0,12,53,2809,0,3383.9424,1,0,0,0,0,8.1267967
66,2,1,0,12,53,2809,0,2625.3816,0,1,0,0,0,7.8729815
66,3,1,0,12,53,2809,0,2605.137,0,0,1,0,0,7.8652406
66,4,1,0,12,53,2809,0,2329.7332,0,0,0,1,0,7.753509
66,5,1,0,12,53,2809,0,2338.3364,0,0,0,0,1,7.757195
67,1,1,0,18,35,1225,1,5386.6841,1,0,0,0,0,8.5916853
67,2,1,0,18,35,1225,1,5586.5308,0,1,0,0,0,8.6281137
67,3,1,0,18,35,1225,1,5189.417,0,0,1,0,0,8.5543766
67,4,1,0,18,35,1225,1,5546.5356,0,0,0,1,0,8.6209288
67,5,1,0,18,35,1225,1,5812.6084,0,0,0,0,1,8.6677847
68,1,1,0,16,43,1849,4,3101.2109,1,0,0,0,0,8.0395479
68,2,1,0,16,43,1849,4,3195.7444,0,1,0,0,0,8.0695753
68,3,1,0,16,43,1849,4,3279.7107,0,0,1,0,0,8.0955105
68,4,1,0,16,43,1849,4,3221.0977,0,0,0,1,0,8.0774775
68,5,1,0,16,43,1849,4,3059.8733,0,0,0,0,1,8.0261288
69,1,1,0,12,31,961,2,1898.3934,1,0,0,0,0,7.5487633
69,2,1,0,12,31,961,2,1970.9272,0,1,0,0,0,7.5862594
69,3,1,0,12,31,961,2,1893.098,0,0,1,0,0,7.54597
69,4,1,0,12,31,961,2,1904.9132,0,0,0,1,0,7.5521917
69,5,1,0,12,31,961,2,1996.8574,0,0,0,0,1,7.5993299
70,1,1,1,13,51,2601,1,2193.5676,1,0,0,0,0,7.6932845
70,2,1,1,13,51,2601,1,2044.6941,0,1,0,0,0,7.6230035
70,3,1,1,13,51,2601,1,2109.9558,0,0,1,0,0,7.6544223
70,4,1,1,13,51,2601,1,1975.0234,0,0,0,1,0,7.5883355
70,5,1,1,13,51,2601,1,1957.6223,0,0,0,0,1,7.5794859
71,1,1,0,10,35,1225,6,3310.8979,1,0,0,0,0,8.1049747
71,2,1,0,10,35,1225,6,1760.7775,0,1,0,0,0,7.4735107
71,3,1,0,10,35,1225,6,3851.7351,0,0,1,0,0,8.256279
71,4,1,0,10,35,1225,4,1837.8474,0,0,0,1,0,7.5163503
71,5,1,0,10,35,1225,4,1297.3894,0,0,0,0,1,7.1681094
72,1,1,0,17,41,1681,1,2953.1897,1,0,0,0,0,7.9906411
72,2,1,0,17,41,1681,1,2913.6863,0,1,0,0,0,7.9771743
72,3,1,0,17,41,1681,1,2839.6458,0,0,1,0,0,7.9514346
72,4,1,0,17,41,1681,1,2814.4055,0,0,0,1,0,7.9425063
72,5,1,0,17,41,1681,1,2550.6641,0,0,0,0,1,7.8441091
73,1,1,0,12,54,2916,0,5587.5806,1,0,0,0,0,8.6283016
